	t-SNE Component 1	t-SNE Component 2	Label
793	21.435331	9.374955	Small
794	13.153037	5.5135403	Small
795	24.717232	6.178326	Small
796	36.417305	5.1076574	Small
797	25.600952	8.2247	Small
798	29.189268	6.070562	Small
799	27.750263	6.3119874	Small
800	43.604668	5.9155817	Small
801	33.84532	7.0919585	Small
802	36.615803	5.5384493	Small
803	34.083736	7.1982713	Small
804	23.757986	4.2650247	Small
805	35.69837	5.365737	Small
806	48.19934	9.172708	Small
807	19.287842	10.909248	Small
808	38.63234	5.140327	Small
809	46.80174	8.417859	Small
810	45.2004	7.0271244	Small
811	42.053394	7.035847	Small
812	41.007057	8.985577	Small
813	18.847166	4.8141775	Small
814	24.848434	8.371681	Small
815	14.553765	3.690313	Small
816	43.186443	6.329777	Small
817	31.779705	5.9569683	Small
818	15.759086	7.1377273	Small
819	13.183916	12.650649	Small
820	21.690937	10.807063	Small
821	30.227913	9.285518	Small
822	8.086161	14.535555	Small
823	11.073015	13.794019	Small
824	24.037378	8.03593	Small
825	3.1975825	-6.889277	Small
826	16.187662	4.65689	Small
827	39.957615	6.8479834	Small
828	17.63834	5.6371818	Small
829	17.107151	5.8495326	Small
830	43.338814	5.3179774	Small
831	21.679169	7.6153626	Small
832	23.536568	5.703572	Small
833	19.466745	6.4572535	Small
834	2.7471333	-7.707137	Small
835	18.507067	4.134196	Small
836	9.064524	16.564417	Small
837	21.461027	10.155379	Small
838	31.519264	7.0314445	Small
839	22.200241	10.668646	Small
840	26.072475	5.6289706	Small
841	34.553764	4.8620787	Small
842	18.165943	9.782343	Small
843	18.75384	2.2388706	Small
844	41.2505	7.26121	Small
845	23.073103	8.64492	Small
846	24.242704	7.5777335	Small
847	8.52257	16.820368	Small
848	26.39784	5.1915326	Small
849	9.309238	16.767155	Small
850	8.43574	13.850374	Small
851	13.830901	7.815565	Small
852	32.265083	6.8517895	Small
853	7.7169046	0.8581506	Small
854	7.85768	14.578283	Small
855	8.847185	7.602096	Small
856	10.183904	15.056208	Small
857	10.556386	15.069585	Small
858	26.04351	8.323654	Small
859	8.355882	18.002485	Small
860	13.901572	9.793284	Small
861	9.085555	11.369262	Small
862	7.9056096	16.705786	Small
863	8.311331	3.3292475	Small
864	7.7326026	3.2804	Small
865	16.974846	12.773631	Small
866	7.828747	13.853856	Small
867	8.657729	5.880873	Small
868	9.846243	17.081816	Small
869	23.45414	8.348088	Small
870	7.8675256	15.970658	Small
871	7.349449	17.649008	Small
872	8.702683	7.5934525	Small
873	7.9948797	14.25437	Small
874	14.485671	14.09013	Small
875	40.198177	5.7868376	Small
876	18.402191	6.477685	Small
877	33.93186	6.0016904	Small
878	44.385517	7.066152	Small
879	14.619504	8.530551	Small
880	10.514425	5.0830216	Small
881	27.850592	8.05479	Small
882	31.276554	5.1159534	Small
883	35.239693	5.5951242	Small
884	17.840666	9.74287	Small
885	21.372002	9.5237255	Small
886	22.064114	10.38455	Small
887	34.097992	4.4886007	Small
888	18.637642	11.846494	Small
