	UMAP Component 1	UMAP Component 2	Label
556	1.5225053	5.975557	Small
557	0.7401069	6.480351	Small
558	4.8899775	5.586088	Small
559	0.9145689	7.1916885	Small
560	2.680137	6.250242	Small
561	7.203319	3.0306578	Small
562	7.29992	3.914593	Small
563	-3.771149	10.391376	Small
564	-6.561647	10.708487	Small
565	5.7186713	5.1535635	Small
566	7.593624	3.778845	Small
567	-1.145595	9.030376	Small
568	-1.5830883	8.883099	Small
569	-1.599306	8.530883	Small
570	-4.906023	10.182329	Small
571	5.916436	5.106096	Small
572	-0.74434507	8.670062	Small
573	3.4771686	6.5277295	Small
574	-3.2895691	9.810155	Small
575	7.296566	3.7475927	Small
576	7.452958	3.8147323	Small
577	7.9209776	2.2441626	Small
578	-0.4100518	7.6146407	Small
579	-0.8307857	8.527022	Small
580	3.579643	6.278723	Small
581	4.3251143	6.152023	Small
582	5.33728	5.3708057	Small
583	-6.0419364	11.013752	Small
584	1.4724244	6.1867123	Small
585	2.9446242	6.1223893	Small
586	1.6478217	6.701298	Small
587	-4.9640365	8.187466	Small
588	-4.816345	10.840943	Small
589	-4.2166653	9.175511	Small
590	6.6957593	4.431918	Small
591	6.0874147	4.570592	Small
592	4.6203017	5.9324584	Small
593	-7.376354	14.514391	Small
594	-2.3412862	9.436281	Small
595	-3.2338238	10.18224	Small
596	6.996739	4.230891	Small
597	7.410813	3.9592867	Small
598	8.848953	1.1852356	Small
599	6.098939	4.864111	Small
600	6.390399	4.6133046	Small
601	-1.1825624	8.404944	Small
602	-2.2865384	8.332914	Small
603	-2.2024615	8.021011	Small
604	-6.9874873	13.692779	Small
605	-6.145513	10.704319	Small
606	1.2282364	3.892055	Small
607	-2.2810595	5.519718	Small
608	-4.878355	8.609155	Small
609	-2.7413795	6.4230146	Small
610	-4.3534	2.7541122	Small
611	-4.7824497	8.977797	Small
612	-4.4579906	9.325429	Small
613	-3.4536524	5.5409646	Small
614	1.5338935	6.7683845	Small
615	-2.5370698	9.144997	Small
616	-1.1986779	7.122571	Small
617	1.0554438	6.148004	Small
618	2.5597937	6.18643	Small
619	-0.65854496	7.944878	Small
620	2.1962242	6.1375594	Small
621	-0.7005043	7.603009	Small
622	-0.6438528	8.366466	Small
623	-1.9473345	9.273572	Small
624	-1.4387907	7.8509107	Small
625	-3.1975267	10.191747	Small
626	-5.089199	7.144361	Small
627	-5.58529	9.637298	Small
628	-5.6583276	11.677961	Small
629	-6.5314026	9.615384	Small
630	1.1538817	5.025241	Small
631	-1.3965721	5.901441	Small
632	-3.7143123	6.9746127	Small
633	-2.1930208	6.9116793	Small
634	-5.067862	7.4258366	Small
635	-5.61592	10.754262	Small
636	-3.6169565	6.692522	Small
637	-5.9612746	10.030313	Small
638	-4.2270865	7.2237372	Small
639	-4.28845	7.2904344	Small
640	-3.3738186	6.0815663	Small
641	-3.7797294	5.6890936	Small
642	-5.0626674	7.5220447	Small
643	4.661139	4.7648325	Small
644	-3.5735004	8.682228	Small
645	-3.0370083	7.851464	Small
646	-5.277455	11.797581	Small
647	-2.8148603	7.6912956	Small
648	-4.256585	4.854539	Small
649	-4.16679	3.5354908	Small
650	-2.615662	4.657959	Small
651	-4.5273514	4.3793373	Small
652	-4.6322637	3.9067972	Small
653	-4.1444864	-1.0773301	Small
654	-3.8859847	5.867939	Small
655	-4.4370465	-0.6399682	Small
656	-3.705273	6.084102	Small
657	-5.7327504	9.25869	Small
658	-5.179449	8.693228	Small
659	-4.7046123	4.1537166	Small
660	8.854565	5.65477	Small
661	-6.270056	14.499817	Small
662	-6.304215	10.591347	Small
663	-6.2435465	7.355037	Small
664	-4.7467313	9.483574	Small
665	-2.1376178	4.3797708	Small
666	-1.1210572	4.5944667	Small
667	-4.462228	6.5297613	Small
668	-4.7973404	4.2791066	Small
669	-2.4246454	-0.042608805	Small
670	1.961106	5.030919	Small
671	-1.8951919	2.7273211	Small
672	-0.5490934	1.956353	Small
673	-7.2062397	11.772308	Small
674	-6.0648956	10.132118	Small
675	-4.853771	6.037594	Small
676	-5.1658	-4.638484	Small
677	-7.876129	14.959946	Small
678	2.132619	4.920046	Small
679	-2.3571584	6.0517097	Small
680	-0.46098563	4.231665	Small
681	-7.206516	12.810898	Small
682	-0.89894646	2.1180139	Small
683	-2.1604571	0.22754614	Small
684	-7.069441	12.206173	Small
685	-4.81416	3.9615052	Small
686	-5.0377183	-4.304094	Small
687	-1.2903678	4.2357326	Small
688	-4.271727	4.874521	Small
689	-7.8099165	16.848223	Small
690	-5.7054744	7.772485	Small
691	0.79146534	4.9847746	Small
692	-4.606827	4.4976645	Small
693	-5.6117964	9.530315	Small
694	-5.1499534	10.0131445	Small
695	-4.698407	-2.9209638	Small
696	-4.510933	2.0152678	Small
697	0.9833195	6.397269	Small
698	-6.775317	13.726061	Small
699	0.66980416	6.412403	Small
700	-7.351779	16.129923	Small
701	-2.0747395	7.46419	Small
702	6.9515266	3.8169966	Small
703	-6.0670185	10.722974	Small
704	-5.091039	6.362278	Small
705	1.9685947	5.4546165	Small
706	-6.641807	9.505066	Small
707	8.768533	2.3798485	Small
708	6.181523	3.902004	Small
709	-3.0980442	6.411791	Small
710	-7.0307455	15.851348	Small
711	-5.612024	11.294456	Small
712	2.6660876	5.6374063	Small
713	-2.7193594	0.1528208	Small
714	-3.655688	3.7360082	Small
715	-4.5700026	7.3307595	Small
716	-6.854909	14.951552	Small
717	-4.6594734	8.921606	Small
718	0.10781545	3.0046365	Small
719	-3.4504874	4.434794	Small
720	-3.4162643	2.552772	Small
721	-3.4934232	8.973051	Small
722	-3.8331735	5.6997237	Small
723	-7.5771537	14.525533	Small
724	-5.5140443	7.926774	Small
725	-4.5034933	5.2310443	Small
726	-2.4554791	3.381091	Small
727	-0.35203665	1.9598049	Small
728	-1.8293861	3.5518668	Small
729	-1.2082096	1.0587622	Small
730	-7.8228436	18.470394	Small
731	-7.3386087	12.760341	Small
732	-5.5054054	-5.101919	Small
733	-6.2344913	7.455007	Small
734	-0.35753742	4.8496113	Small
735	-4.485791	3.1625705	Small
736	-2.9206676	1.5988562	Small
737	-4.4082932	1.0590109	Small
738	-5.4388714	-5.179171	Small
739	-1.9614781	-0.3035483	Small
740	-4.3961406	3.3863864	Small
741	-3.9266722	-0.71392083	Small
742	-7.5549273	15.891765	Small
743	-6.969319	15.044536	Small
744	-7.722604	18.126522	Small
745	-5.3622704	-5.0654187	Small
746	-1.8979812	0.6284931	Small
747	-2.6658041	5.4769716	Small
748	-1.8657627	9.597953	Small
749	-3.1642864	3.0833514	Small
750	-2.5978591	3.1354976	Small
751	-6.9470553	12.818213	Small
752	0.16581081	6.154575	Small
753	-3.253978	0.29277557	Small
754	5.326821	5.3276253	Small
755	-4.822871	7.3886824	Small
756	-4.6438293	10.646984	Small
757	-4.6344852	5.8706636	Small
758	-4.7033143	11.074476	Small
759	-5.415578	6.9796944	Small
760	-5.93535	12.022579	Small
761	-3.8009455	9.589389	Small
762	-3.5887809	9.6258545	Small
763	-2.043554	6.3612413	Small
764	-5.0811167	10.346911	Small
765	-2.9463506	7.361823	Small
766	-4.1577635	5.0280557	Small
767	-6.677377	12.358805	Small
768	-4.4636135	6.8063216	Small
769	9.466388	0.1141533	Small
770	3.8883822	4.9265785	Small
771	0.22736458	3.603668	Small
772	-3.1649728	2.7370791	Small
773	-3.1025078	2.5211947	Small
774	-9.122449	17.004763	Small
775	-7.474745	10.0929575	Small
776	-0.7636591	1.6659495	Small
777	-3.7645438	5.3666005	Small
778	-3.330062	6.116299	Small
779	-7.6012154	11.137501	Small
780	-3.5498197	4.313444	Small
781	-8.655553	16.990408	Small
782	0.5660585	3.5000184	Small
783	-6.0051527	9.890724	Small
784	-7.076754	11.14731	Small
785	-0.60693294	4.4358134	Small
786	-7.9319544	19.326572	Small
787	-1.9163771	5.9041862	Small
788	5.11052	5.079493	Small
789	6.7284837	4.0552163	Small
790	-0.2543272	6.973083	Small
791	-6.933536	14.294345	Small
792	-4.8632755	11.248612	Small
793	-4.726772	7.1979284	Small
794	-0.60021347	5.7553296	Small
795	-4.3557153	9.544544	Small
796	-6.5093203	14.36636	Small
797	-5.6484437	9.451729	Small
798	-5.394984	11.363834	Small
799	-5.406652	10.733803	Small
800	-7.0843716	17.639029	Small
801	-7.1936812	12.827806	Small
802	-6.2971463	14.296552	Small
803	-7.232685	12.87825	Small
804	-3.4360306	9.628837	Small
805	-6.5971594	13.742059	Small
806	-8.4581175	20.78983	Small
807	-4.8662176	6.185664	Small
808	-6.773056	15.003488	Small
809	-8.346035	19.820765	Small
810	-7.7993603	18.578966	Small
811	-7.821398	16.77997	Small
812	-8.880836	16.060478	Small
813	-2.3982174	8.117237	Small
814	-5.247804	8.940203	Small
815	-0.42658314	6.999028	Small
816	-7.4537935	17.288994	Small
817	-5.7174387	12.169444	Small
818	-2.3038309	6.0719557	Small
819	-3.4428608	3.649692	Small
